{'txHash': '4c86a7983221edd04532d293b438fe841c6025b1600baa670b94fc63326d5ac6', 'function': 'next_stage', 'fee': '664350000000000', 'gasUsed': 60000000, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 1796, 'timestamp': 1718218568, 'sender': 'erd1rxufcd8sn9t2k5cavngu60qeeytkuxymajdarnyq5f8enh850wpq8at8xu', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': '03116de2c871ed55c26e9f76415fdbe086980b5fcaa8562dcf9530e226874c2c', 'function': 'evaluate_file', 'fee': '811365000000000', 'gasUsed': 60000000, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 599, 'timestamp': 1718218592, 'sender': 'erd100swfm9cts2p3zsmsdrpkf4v06vwfhm7ru808s2mzkdgaatq9drqhhequu', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': 'f57a0f13db2620b9ebb2ff6c351a04519fa23b74ef5183ebe43adf36b6170762', 'function': 'evaluate_file', 'fee': '811365000000000', 'gasUsed': 60000000, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 617, 'timestamp': 1718218598, 'sender': 'erd1twlfq8k9essv48c3zvc673qtjy7agcgnez0fveufqz8e6punl5tqsrwurk', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': '923721b91fd5830e265507037c556b25c4834f4e51b889bf3deea29835b33306', 'function': 'evaluate_file', 'fee': '811365000000000', 'gasUsed': 60000000, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 597, 'timestamp': 1718218616, 'sender': 'erd1cp9d553jtkckz567kwfkqhnpykxmuzr844lj64zrehfckgg2z27qrcxs4e', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': '0e254b28772c9ee47594f01ce63b5dba61330674ca16e90d917457a578e38f0b', 'function': 'evaluate_file', 'fee': '811365000000000', 'gasUsed': 60000000, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 597, 'timestamp': 1718218616, 'sender': 'erd107kyce4264dsg3tfgqx33pwp5ypawvrrw6q6f6e0lthcnsgqdvts7dk0nz', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': 'a67526d8e91e046ac8efc28c1615cf6b1efd23542cad7e9f4787b34f7f9aa462', 'function': 'evaluate_file', 'fee': '811365000000000', 'gasUsed': 60000000, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 599, 'timestamp': 1718218616, 'sender': 'erd1tflykelvzt257qgmrtwjferetetnst00t54sra35jzl30dxyqwyq33vdhz', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': '00e879d5dc0150511ad321f2a22b747cbb87b5427a22d0eb085a698e7be3a19c', 'function': 'evaluate_file', 'fee': '811365000000000', 'gasUsed': 60000000, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 599, 'timestamp': 1718218616, 'sender': 'erd16qmq6lums7pwtcqtgep86netzm0r9jtgrspgphx5w7uh5f86n92se7pz5c', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': '8d728bdf0a9cc231fb0355740757798dd10b093e99b5629a02b5502ec6c4d4c2', 'function': 'evaluate_file', 'fee': '811365000000000', 'gasUsed': 60000000, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 599, 'timestamp': 1718218616, 'sender': 'erd18x0ktspqhtvjyfkjecdkmngjxq5dc4zssrgk3c2nl963kqtjprvslcdksz', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': 'ecbfaefb3103f8a986ae7a9be0bf9f0c39b3b5145f86c4ff3cf71a42fc8916d2', 'function': 'evaluate_file', 'fee': '811365000000000', 'gasUsed': 60000000, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 599, 'timestamp': 1718218616, 'sender': 'erd1sy3f5pll8urwv56l9yd6xeg83a2q9cdgnwx8ldxnt3nkawgn6jkq992wxn', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': '248c8a889d19b05ab0381b6a5a09bb99816f015b2579deae74f76e80b6a3309b', 'function': 'evaluate_file', 'fee': '811365000000000', 'gasUsed': 60000000, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 597, 'timestamp': 1718218622, 'sender': 'erd1de3aqyzmht2hczspcge4u53jty6zyr7vqupxytpamf7pp7n4qa6qszsg4l', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': '2e43b44b51aa82f92e0ff6ecf57a9f4b8655e1c6616c86cb8d2b431c8d7fd433', 'function': 'next_stage', 'fee': '664350000000000', 'gasUsed': 60000000, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 1797, 'timestamp': 1718218628, 'sender': 'erd1rxufcd8sn9t2k5cavngu60qeeytkuxymajdarnyq5f8enh850wpq8at8xu', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': 'c236461b34b40d231874ed351a11d720d69759caab53bb527947ae3673c7db37', 'function': 'upload_cluster_aggregation_file', 'fee': '322896160000000', 'gasUsed': 8480116, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 194, 'timestamp': 1718218664, 'sender': 'erd1mqjazvp63kw97tc4927gpy8sh5qy7q2f7t48rnearmfzqfhuwa6qy5uxdc', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': '9f231dcc3ef61195eded93200ee93b33305da44ff649efd083cfdcbc037c13da', 'function': 'next_stage', 'fee': '664350000000000', 'gasUsed': 60000000, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 1798, 'timestamp': 1718218670, 'sender': 'erd1rxufcd8sn9t2k5cavngu60qeeytkuxymajdarnyq5f8enh850wpq8at8xu', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': '2b03f420a1882084e9cb43469cf2eb3544123cea4bef5381cde7a8a1e465010a', 'function': 'evaluate_file', 'fee': '811365000000000', 'gasUsed': 60000000, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 194, 'timestamp': 1718218706, 'sender': 'erd1kprw42wwew7xswrmmk3pnauuazchj20hnqqxgp4g9rdq0tuzu0vsgt4vyw', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': 'ec08497713a05f20ef51da83c77bd633d3467d807fdb99d5a6622c2f795ec031', 'function': 'next_round', 'fee': '664350000000000', 'gasUsed': 60000000, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 1799, 'timestamp': 1718218712, 'sender': 'erd1rxufcd8sn9t2k5cavngu60qeeytkuxymajdarnyq5f8enh850wpq8at8xu', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
